ENMIMPRIMAN;IMPRIMANTE 
ENMPCPORT;PC PORTABLE
ENMSALCUIR;SALLON CUIRE
ENMTABBASE;TABLE BASSE 
ENMTABINOX;TABLE INOX 
ENMTABLAFF;TABLEAU AFFICHAGE 
ENMTIRCAIS;TIRROIRE DE CAISSE
ENMTV;TV 
SDBAMPLSON;AMLIFICATEUR SON 
SDBBURMAIT;BUREAU MAITRE
SDBINPRIMA;IMPRIMANTE 
SDBMUDATSH;MURALE DATA SHOW 
SDBPCLENOV;PC ALL IN ONE LENOVO 
SDBPHOTCOP;PHOTOCOPIE SHARP
SDBTABMAG;TABLEAU MAGIQUE 
